#44
#E	xsec
0.01000	0
0.030175	0
0.050351	0
0.070526	0
0.090701	0
0.11088	0
0.1409	3.051730879e-12
0.17906	2.136849224e-11
0.22756	5.13458436e-11
0.28918	7.545732171e-11
0.3675	9.100054511e-11
0.46702	1.051854222e-10
0.5935	1.196753482e-10
0.75423	1.320131464e-10
0.95849	1.415871187e-10
1.2181	1.433187958e-10
1.5479	1.434970342e-10
1.9672	1.405662739e-10
2.4999	1.38172729e-10
3.1769	1.365676126e-10
4.0373	1.328094769e-10
5.1306	1.299269092e-10
6.5201	1.291266496e-10
8.2858	1.27913474e-10
10.53	1.259690714e-10
13.381	1.262761378e-10
17.005	1.25497122e-10
21.611	1.260585478e-10
27.463	1.249862316e-10
34.901	1.241085759e-10
44.353	1.240216828e-10
56.364	1.231430393e-10
71.628	1.23715547e-10
91.027	1.233811346e-10
115.68	1.231038166e-10
147.01	1.233568784e-10
186.82	1.229898795e-10
237.41	1.235960832e-10
301.71	1.236321291e-10
383.41	1.239998527e-10
487.25	1.232741708e-10
619.2	1.228288914e-10
786.9	1.233985666e-10
1000	1.224421362e-10
